Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1657611190,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611191,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611192,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611193,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611194,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611195,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611196,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611197,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611198,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611199,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611200,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1657611201,1,POST,/api/v1/Authors,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,93,296.96421744301915,92.82887983135879,501.0995550546795,63.0
1657611201,1,GET,/api/v1/Authors/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,94,94.33694195467979,93.81841705180705,94.85546685755253,71.0
1657611201,1,GET,/api/v1/Authors/authors/books/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,99.6135650202632,99.6135650202632,99.6135650202632,99.6135650202632,289.0
1657611201,1,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,5,0,95,176.44317676313221,92.82887983135879,501.0995550546795,111.4
1657611202,1,GET,/api/v1/Authors,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,96,124.01085789315403,94.80737987905741,181.2858369667083,46531.0
1657611202,1,POST,/api/v1/Authors,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,93,229.01758931887647,92.82887983135879,501.0995550546795,63.0
1657611202,1,DELETE,/api/v1/Authors/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,93,92.99009956885129,92.8664670791477,93.11373205855489,0.0
1657611202,1,GET,/api/v1/Authors/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,94,94.33694195467979,93.81841705180705,94.85546685755253,71.0
1657611202,1,PUT,/api/v1/Authors/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,93,93.10075838584453,92.79759484343231,93.40392192825675,63.0
1657611202,1,GET,/api/v1/Authors/authors/books/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,95,95.83901505296429,93.29191292636096,99.6135650202632,241.0
1657611202,1,,Aggregated,0.000000,0.000000,94,95,96,100,180,500,500,500,500,500,500,15,0,94,127.16386577424903,92.79759484343231,501.0995550546795,9384.866666666667
1657611203,1,GET,/api/v1/Authors,0.000000,0.000000,94,95,95,96,96,96,96,96,96,96,96,6,0,94.05653295107186,109.12914682800572,94.05653295107186,181.2858369667083,46542.333333333336
1657611203,1,POST,/api/v1/Authors,0.000000,0.000000,93,93,93,93,93,93,93,93,93,93,93,4,0,93,194.5832782657817,91.2803451064974,501.0995550546795,63.0
1657611203,1,DELETE,/api/v1/Authors/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,93,93.66157806168,92.8664670791477,95.00453504733741,0.0
1657611203,1,GET,/api/v1/Authors/1,0.000000,0.000000,97,97,97,97,97,97,97,97,97,97,97,4,0,94,94.73417641129345,93.3659637812525,96.89685795456171,71.0
1657611203,1,PUT,/api/v1/Authors/1,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,4,0,93,93.08303619036451,92.19468594528735,93.93594204448164,63.0
1657611203,1,GET,/api/v1/Authors/authors/books/1,0.000000,0.000000,93,93,95,95,95,95,95,95,95,95,95,4,0,93.29191292636096,95.20443005021662,93.29191292636096,99.6135650202632,217.0
1657611203,1,,Aggregated,0.000000,0.000000,94,95,95,96,100,180,500,500,500,500,500,25,0,94,113.84717195294797,91.2803451064974,501.0995550546795,11236.4
1657611204,1,GET,/api/v1/Authors,0.500000,0.000000,95,95,95,95,96,96,96,96,96,96,96,7,0,95,107.13956345404897,94.05653295107186,181.2858369667083,46862.71428571428
